Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,days_since,Population,Confirmed / Million Inhabitants,Deaths / Million Inhabitants,Recovered / Million Inhabitants
NA_Eswatini,Eswatini,-26.5225,31.4659,2020-01-22,0,0,0,0,1157707.0,0.0,0.0,0.0
NA_Ethiopia,Ethiopia,9.145,40.4897,2020-01-22,0,0,0,0,114357494.0,0.0,0.0,0.0
NA_Fiji,Fiji,-17.7134,178.065,2020-01-22,0,0,0,0,895128.0,0.0,0.0,0.0
NA_Finland,Finland,64.0,26.0,2020-01-22,0,0,0,0,5539002.0,0.0,0.0,0.0
French Guiana,France,3.9339,-53.1258,2020-01-22,0,0,0,0,65244628.0,0.0,0.0,0.0
French Polynesia,France,-17.6797,149.4068,2020-01-22,0,0,0,0,65244628.0,0.0,0.0,0.0
Guadeloupe,France,16.25,-61.5833,2020-01-22,0,0,0,0,65244628.0,0.0,0.0,0.0
Mayotte,France,-12.8275,45.1662,2020-01-22,0,0,0,0,65244628.0,0.0,0.0,0.0
New Caledonia,France,-20.9043,165.618,2020-01-22,0,0,0,0,65244628.0,0.0,0.0,0.0
Reunion,France,-21.1351,55.2471,2020-01-22,0,0,0,0,65244628.0,0.0,0.0,0.0
Saint Barthelemy,France,17.9,-62.8333,2020-01-22,0,0,0,0,65244628.0,0.0,0.0,0.0
St Martin,France,18.0708,-63.0501,2020-01-22,0,0,0,0,65244628.0,0.0,0.0,0.0
Martinique,France,14.6415,-61.0242,2020-01-22,0,0,0,0,65244628.0,0.0,0.0,0.0
NA_France,France,46.2276,2.2137,2020-01-22,0,0,0,0,65244628.0,0.0,0.0,0.0
NA_Gabon,Gabon,-0.8037,11.6094,2020-01-22,0,0,0,0,2214593.0,0.0,0.0,0.0
NA_Gambia,Gambia,13.4432,-15.3101,2020-01-22,0,0,0,0,2402083.0,0.0,0.0,0.0
NA_Georgia,Georgia,42.3154,43.3569,2020-01-22,0,0,0,0,3990681.0,0.0,0.0,0.0
NA_Germany,Germany,51.0,9.0,2020-01-22,0,0,0,0,83730223.0,0.0,0.0,0.0
NA_Ghana,Ghana,7.9465,-1.0232,2020-01-22,0,0,0,0,30936375.0,0.0,0.0,0.0
NA_Greece,Greece,39.0742,21.8243,2020-01-22,0,0,0,0,10433037.0,0.0,0.0,0.0
NA_Guatemala,Guatemala,15.7835,-90.2308,2020-01-22,0,0,0,0,17846248.0,0.0,0.0,0.0
NA_Guinea,Guinea,9.9456,-9.6966,2020-01-22,0,0,0,0,13056478.0,0.0,0.0,0.0
NA_Guyana,Guyana,5.0,-58.75,2020-01-22,0,0,0,0,785788.0,0.0,0.0,0.0
NA_Haiti,Haiti,18.9712,-72.2852,2020-01-22,0,0,0,0,11373955.0,0.0,0.0,0.0
NA_Holy See,Holy See,41.9029,12.4534,2020-01-22,0,0,0,0,801.0,0.0,0.0,0.0
NA_Honduras,Honduras,15.2,-86.2419,2020-01-22,0,0,0,0,9871892.0,0.0,0.0,0.0
NA_Hungary,Hungary,47.1625,19.5033,2020-01-22,0,0,0,0,9665192.0,0.0,0.0,0.0
NA_Iceland,Iceland,64.9631,-19.0208,2020-01-22,0,0,0,0,340795.0,0.0,0.0,0.0
NA_India,India,21.0,78.0,2020-01-22,0,0,0,0,1377233523.0,0.0,0.0,0.0
NA_Indonesia,Indonesia,-0.7893,113.9213,2020-01-22,0,0,0,0,272931713.0,0.0,0.0,0.0
NA_Iran,Iran,32.0,53.0,2020-01-22,0,0,0,0,83771587.0,0.0,0.0,0.0
NA_Iraq,Iraq,33.0,44.0,2020-01-22,0,0,0,0,40031626.0,0.0,0.0,0.0
NA_Ireland,Ireland,53.1424,-7.6921,2020-01-22,0,0,0,0,4926480.0,0.0,0.0,0.0
NA_Israel,Israel,31.0,35.0,2020-01-22,0,0,0,0,8627444.0,0.0,0.0,0.0
NA_Italy,Italy,43.0,12.0,2020-01-22,0,0,0,0,60479424.0,0.0,0.0,0.0
NA_Jamaica,Jamaica,18.1096,-77.2975,2020-01-22,0,0,0,0,2958567.0,0.0,0.0,0.0
NA_Japan,Japan,36.0,138.0,2020-01-22,2,0,0,0,126552765.0,0.0,0.0,0.0
